Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,Currency Unit
Austria,AUT,Trading across borders: Cost to export: Border compliance (USD) (DB16-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Austria,AUT,Trading across borders: Cost to export: Documentary compliance (USD) (DB16-20 methodology),0.0,0.0,0.0,0.0,0.0,0.0,Euro
Austria,AUT,Trading across borders: Cost to export: Documentary compliance (USD) (DB16-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Austria,AUT,Trading across borders: Cost to import: Border compliance (USD) (DB16-20 methodology),0.0,0.0,0.0,0.0,0.0,0.0,Euro
Austria,AUT,Trading across borders: Cost to import: Border compliance (USD) (DB16-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Austria,AUT,Trading across borders: Cost to import: Documentary compliance (USD) (DB16-20 methodology),0.0,0.0,0.0,0.0,0.0,0.0,Euro
Austria,AUT,Trading across borders: Cost to import: Documentary compliance (USD) (DB16-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Austria,AUT,Trading across borders: Time to export: Border compliance (hours) (DB16-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Austria,AUT,Trading across borders: Time to export: Documentary compliance (hours) (DB16-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Austria,AUT,Trading across borders: Time to import: Border compliance (hours) (DB16-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Austria,AUT,Trading across borders: Time to import: Documentary compliance (hours) (DB16-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Belgium,BEL,Dealing with construction permits (DB16-20 methodology) - Score,75.3,75.3,75.3,75.4,75.4,75.5,Euro
Belgium,BEL,Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology),12.0,12.0,12.0,12.0,12.0,12.0,Euro
Belgium,BEL,Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology) - Score,80.0,80.0,80.0,80.0,80.0,80.0,Euro
Belgium,BEL,Dealing with construction permits: Cost (% of Warehouse value),1.1,1.0,1.0,1.0,0.9,0.9,Euro
Belgium,BEL,Dealing with construction permits: Cost (% of Warehouse value) - Score,94.62861,94.91547,94.95783,95.02386,95.27019,95.41262,Euro
Belgium,BEL,Dealing with construction permits: Liability and insurance regimes index (0-2) (DB16-20 methodology),2.0,2.0,2.0,2.0,2.0,2.0,Euro
Belgium,BEL,Dealing with construction permits: Procedures (number),10.0,10.0,10.0,10.0,10.0,10.0,Euro
Belgium,BEL,Dealing with construction permits: Procedures (number) - Score,80.0,80.0,80.0,80.0,80.0,80.0,Euro
Belgium,BEL,Dealing with construction permits: Professional certifications index (0-4) (DB16-20 methodology),2.0,2.0,2.0,2.0,2.0,2.0,Euro
Belgium,BEL,Dealing with construction permits: Quality control after construction index (0-3) (DB16-20 methodology),3.0,3.0,3.0,3.0,3.0,3.0,Euro
Belgium,BEL,Dealing with construction permits: Quality control before construction index (0-1) (DB16-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Belgium,BEL,Dealing with construction permits: Quality control during construction index (0-3) (DB16-20 methodology),2.0,2.0,2.0,2.0,2.0,2.0,Euro
Belgium,BEL,Dealing with construction permits: Quality of building regulations index (0-2) (DB16-20 methodology),2.0,2.0,2.0,2.0,2.0,2.0,Euro
Belgium,BEL,Dealing with construction permits: Time (days),212.0,212.0,212.0,212.0,212.0,212.0,Euro
Belgium,BEL,Dealing with construction permits: Time (days)  - Score,46.39769,46.39769,46.39769,46.39769,46.39769,46.39769,Euro
Belgium,BEL,Enforcing contracts: Attorney fees (% of claim),10.0,10.0,10.0,10.0,10.0,10.0,Euro
Belgium,BEL,Enforcing contracts: Cost (% of claim),17.7,18.0,18.0,18.0,18.0,18.0,Euro
Belgium,BEL,Enforcing contracts: Cost (% of claim) - Score,80.20247,79.86502,79.86502,79.86502,79.86502,79.86502,Euro
Belgium,BEL,Enforcing contracts: Court fees (% of claim),4.7,5.0,5.0,5.0,5.0,5.0,Euro
Belgium,BEL,Enforcing contracts: Enforcement fees (% of claim),3.0,3.0,3.0,3.0,3.0,3.0,Euro
Belgium,BEL,Enforcing contracts: Enforcement of judgment (days),90.0,90.0,90.0,90.0,90.0,90.0,Euro
Belgium,BEL,Enforcing contracts: Filing and service (days),15.0,15.0,15.0,15.0,15.0,15.0,Euro
Belgium,BEL,Enforcing contracts: Time (days),505.0,505.0,505.0,505.0,505.0,505.0,Euro
Belgium,BEL,Enforcing contracts: Time (days) - Score,68.44262,68.44262,68.44262,68.44262,68.44262,68.44262,Euro
Belgium,BEL,Enforcing contracts: Trial and judgment (days),400.0,400.0,400.0,400.0,400.0,400.0,Euro
Belgium,BEL,Getting credit (DB15-20 methodology) - Score,45.0,45.0,45.0,45.0,65.0,65.0,Euro
Belgium,BEL,Getting Credit total score (DB15-20 methodology),9.0,9.0,9.0,9.0,13.0,13.0,Euro
Belgium,BEL,Getting credit: Credit bureau coverage (% of adults),0.0,0.0,0.0,0.0,0.0,0.0,Euro
Belgium,BEL,Getting credit: Credit registry coverage (% of adults),96.4,96.3,95.3,95.5,95.7,95.6,Euro
Belgium,BEL,Getting credit: Depth of credit information index (0-8) (DB15-20 methodology),5.0,5.0,5.0,5.0,5.0,5.0,Euro
Belgium,BEL,Getting credit: Depth of credit information index (0-8) (DB15-20 methodology) - Score,62.5,62.5,62.5,62.5,62.5,62.5,Euro
Belgium,BEL,Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology),4.0,4.0,4.0,4.0,8.0,8.0,Euro
Belgium,BEL,Getting credit: Strength of legal rights index (0-12) (DB15-20 methodology) - Score,33.33333,33.33333,33.33333,33.33333,66.66667,66.66667,Euro
Belgium,BEL,Getting electricity (DB16-20 methodology) - Score,67.3,67.3,67.3,67.3,70.6,70.6,Euro
Belgium,BEL,Getting electricity: Communication of tariffs and tariff changes (0-1) (DB16-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Belgium,BEL,Getting electricity: Cost to get electricity (% of income per capita),92.3,102.4,102.4,101.1,96.1,93.3,Euro
Belgium,BEL,Getting electricity: Cost to get electricity (% of income per capita) - Score,98.8603,98.73608,98.73555,98.75193,98.81371,98.84848,Euro
Belgium,BEL,Getting electricity: Financial deterrents aimed at limiting outages (0-1) (DB16-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Belgium,BEL,Getting electricity: Mechanisms for monitoring outages (0-1) (DB16-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Belgium,BEL,Getting electricity: Mechanisms for restoring service (0-1) (DB16-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Belgium,BEL,Getting electricity: Minimum outage time (in minutes)  (DB16-20 methodology),3.0,3.0,3.0,3.0,3.0,3.0,Euro
Belgium,BEL,Getting electricity: Price of electricity (US cents per kWh) (DB16-20 methodology),19.5,19.2,16.9,16.7,15.8,16.7,Euro
Belgium,BEL,Getting electricity: Procedures (number),6.0,6.0,6.0,6.0,6.0,6.0,Euro
Belgium,BEL,Getting electricity: Procedures (number) - Score,50.0,50.0,50.0,50.0,50.0,50.0,Euro
Belgium,BEL,Getting electricity: Regulatory monitoring (0-1) (DB16-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Belgium,BEL,Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology),8.0,8.0,8.0,8.0,8.0,8.0,Euro
Belgium,BEL,Getting electricity: Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology) - Score,100.0,100.0,100.0,100.0,100.0,100.0,Euro
Belgium,BEL,Getting electricity: System average interruption duration index (SAIDI) (DB16-20 methodology),0.72,0.57,0.53,0.43,0.66,0.41,Euro
Belgium,BEL,Getting electricity: System average interruption frequency index (SAIFI) (DB16-20 methodology),0.68,0.5,0.5,0.4,0.6,0.4,Euro
Belgium,BEL,Getting electricity: Time (days),201.0,201.0,201.0,201.0,171.0,171.0,Euro
Belgium,BEL,Getting electricity: Time (days) - Score,20.43478,20.43478,20.43478,20.43478,33.47826,33.47826,Euro
Belgium,BEL,Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),3.0,3.0,3.0,3.0,3.0,3.0,Euro
Belgium,BEL,Other taxes (% of profits),0.6,0.6,0.6,0.6,0.6,0.6,Euro
Belgium,BEL,Paying taxes: Labor tax and contributions (% of profits),49.5,49.4,48.9,46.2,46.2,44.5,Euro
Belgium,BEL,Paying taxes: Payments (number per year),11.0,11.0,11.0,11.0,11.0,11.0,Euro
Belgium,BEL,Paying taxes: Payments per year (number per year) - Score,86.66667,86.66667,86.66667,86.66667,86.66667,86.66667,Euro
Belgium,BEL,Paying taxes: Profit tax (% of profits),8.3,8.4,9.1,10.3,10.9,10.3,Euro
Belgium,BEL,Paying taxes: Time (hours per year),135.0,136.0,136.0,136.0,136.0,136.0,Euro
Belgium,BEL,Paying taxes: Time (hours per year) - Score,86.70788,86.55332,86.55332,86.55332,86.55332,86.55332,Euro
Belgium,BEL,Paying taxes: Total tax and contribution rate (% of profit),58.4,58.4,58.7,57.1,57.7,55.4,Euro
Belgium,BEL,Paying taxes: Total tax and contribution rate (% of profit) - Score,52.01939,52.04479,51.58308,54.09185,53.25181,56.84979,Euro
Belgium,BEL,Protecting minority investors (DB15-20 methodology) - Score,68.0,68.0,68.0,68.0,68.0,68.0,Euro
Belgium,BEL,Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology),7.0,7.0,7.0,7.0,7.0,7.0,Euro
Belgium,BEL,Protecting minority investors: Ease of shareholder suits index (0-10) (DB15-20 methodology) - Score,70.0,70.0,70.0,70.0,70.0,70.0,Euro
Belgium,BEL,Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology),6.0,6.0,6.0,6.0,6.0,6.0,Euro
Belgium,BEL,Protecting minority investors: Extent of corporate transparency index (0-7) (DB15-20 methodology) - Score,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,Euro
Belgium,BEL,Protecting minority investors: Extent of director liability index (0-10),6.0,6.0,6.0,6.0,6.0,6.0,Euro
Belgium,BEL,Protecting minority investors: Extent of director liability index (0-10) - Score,60.0,60.0,60.0,60.0,60.0,60.0,Euro
Belgium,BEL,Protecting minority investors: Extent of disclosure index (0-10),8.0,8.0,8.0,8.0,8.0,8.0,Euro
Belgium,BEL,Protecting minority investors: Extent of disclosure index (0-10) - Score,80.0,80.0,80.0,80.0,80.0,80.0,Euro
Belgium,BEL,Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology),3.0,3.0,3.0,3.0,3.0,3.0,Euro
Belgium,BEL,Protecting minority investors: Extent of ownership and control index (0-7) (DB15-20 methodology) - Score,42.85714,42.85714,42.85714,42.85714,42.85714,42.85714,Euro
Belgium,BEL,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology),4.0,4.0,4.0,4.0,4.0,4.0,Euro
Belgium,BEL,Protecting minority investors: Extent of shareholder rights index (0-6) (DB15-20 methodology) - Score,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,Euro
Belgium,BEL,Protecting minority investors: Strength of minority investor protection index (0-50) (DB15-20 methodology),34.0,34.0,34.0,34.0,34.0,34.0,Euro
Belgium,BEL,Registering property: Cost (% of property value),12.7,12.7,12.7,12.7,12.7,12.7,Euro
Belgium,BEL,Registering property: Cost (% of property value) - Score,15.18943,15.24803,15.25595,15.25099,15.30226,15.31856,Euro
Belgium,BEL,Registering property: Procedures (number),8.0,8.0,8.0,8.0,8.0,8.0,Euro
Belgium,BEL,Registering property: Procedures (number) - Score,41.66667,41.66667,41.66667,41.66667,41.66667,41.66667,Euro
Belgium,BEL,Registering property: Time (days),64.0,56.0,56.0,56.0,56.0,49.0,Euro
Belgium,BEL,Registering property: Time (days) - Score,69.85646,73.68421,73.68421,73.68421,73.68421,77.03349,Euro
Belgium,BEL,Reorganization proceedings index (0-3) (DB15-20 methodology),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Belgium,BEL,Resolving insolvency - Score,83.9,84.0,84.3,81.5,83.9,84.1,Euro
Belgium,BEL,Resolving insolvency: Commencement of proceedings index (0-3) (DB15-20 methodology),2.5,2.5,2.5,2.5,2.5,2.5,Euro
Belgium,BEL,Resolving insolvency: Cost (% of estate),3.5,3.5,3.5,3.5,3.5,3.5,Euro
Belgium,BEL,Resolving insolvency: Creditor participation index (0-4) (DB15-20 methodology),2.0,2.0,2.0,2.0,2.0,2.0,Euro
Belgium,BEL,Resolving insolvency: Management of debtor's assets index (0-6) (DB15-20 methodology),6.0,6.0,6.0,6.0,6.0,6.0,Euro
Belgium,BEL,Resolving insolvency: Outcome (0 as piecemeal sale and 1 as going concern),1.0,1.0,1.0,1.0,1.0,1.0,Euro
Belgium,BEL,Resolving insolvency: Recovery rate (cents on the dollar),89.1,89.3,89.9,84.6,89.1,89.4,Euro
Belgium,BEL,Resolving insolvency: Recovery rate (cents on the dollar) - Score,95.87011,96.12555,96.76435,91.0435,95.88497,96.25737,Euro
Belgium,BEL,Resolving insolvency: Strength of insolvency framework index (0-16),11.5,11.5,11.5,11.5,11.5,11.5,Euro
Belgium,BEL,Resolving insolvency: Strength of insolvency framework index (0-16) - Score,71.875,71.875,71.875,71.875,71.875,71.875,Euro
Belgium,BEL,Resolving insolvency: Time (years),0.9,0.9,0.9,0.9,0.9,0.9,Euro
Belgium,BEL,Starting a business - Score,91.3,91.4,91.4,91.4,91.4,92.3,Euro
